car_name,car_price_in_rupees,,kms_driven,fuel_type,city,year_of_manufacture
Kia Seltos GTX Plus 1.4 [2020-2021],₹ 16.9 ,,"28,100 km",Petrol,Ahmedabad,2020
Skoda Octavia Elegance 2.0 TDI AT,₹ 7.99 ,,"63,000 km",Diesel,Delhi,2014
Maruti Suzuki Wagon R 1.0 LXI CNG (O),₹ 4.3 ,,"26,600 km",CNG,Pune,2016
Mahindra XUV500 W8,₹ 5.75 ,,"55,105 km",Diesel,Kolkata,2013
Hyundai Eon Era +,₹ 3.3 ,,"42,748 km",Petrol,Chennai,2017
Audi Q7 45 TDI Technology Pack,₹ 59.5 ,,"51,000 km",Diesel,Ahmedabad,2018
Audi A6 35 TDI Matrix,₹ 25 ,,"76,000 km",Diesel,Ahmedabad,2018
Hyundai Elite i20 Sportz 1.2,₹ 6.13 ,,"35,247 km",Petrol,Pune,2017
Hyundai Elite i20 Sportz 1.2,₹ 5.59 ,,"30,183 km",Petrol,Kolkata,2019
Mercedes-Benz GLS 350 d,₹ 68 ,,"88,000 km",Diesel,Hyderabad,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 16.99 ,,"7,870 km",Petrol,Kolkata,2021
Mahindra XUV500 W10,₹ 14.9 ,,"50,000 km",Diesel,Chennai,2018
BMW 3 Series 320d Luxury Line,₹ 17.1 ,,"46,000 km",Diesel,Delhi,2015
Maruti Suzuki Celerio VXi AMT [2017-2019],₹ 4.9 ,,"28,726 km",Petrol,Thane,2018
Maruti Suzuki Wagon R 1.0 LXI,₹ 3.13 ,,"32,907 km",Petrol,Delhi,2014
Maruti Suzuki Alto 800 Vxi,₹ 3.32 ,,"29,092 km",Petrol,Kolkata,2019
Hyundai Creta 1.6 S Petrol,₹ 7.45 ,,"62,461 km",Petrol,Mumbai,2016
Skoda Rapid Ambition 1.6 MPI MT,₹ 3.85 ,,"60,000 km",Petrol,Noida,2012
Jaguar XF 3.0 V6 Premium Luxury,₹ 26.5 ,,"62,645 km",Diesel,Hyderabad,2015
Toyota Innova 2.5 G BS III 7 STR,₹ 9.75 ,,"83,000 km",Diesel,Ahmedabad,2015
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.5 ,,"55,000 km",Petrol,Ahmedabad,2015
Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 35 ,,"1,81,213 km",Diesel,Hyderabad,2019
Maruti Suzuki Dzire VXi AMT,₹ 6.9 ,,"25,000 km",Petrol,Delhi,2020
Datsun GO T [2018-2019],₹ 2.35 ,,"52,000 km",Petrol,Ahmedabad,2018
Ford EcoSport Titanium 1.0 Ecoboost,₹ 4.51 ,,"38,203 km",Petrol,Kolkata,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.06 ,,"64,942 km",CNG,Delhi,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.4 ,,"47,837 km",Petrol,Delhi,2018
Maruti Suzuki Ertiga Vxi,₹ 5 ,,"85,000 km",Petrol + 1,Thiruvallur,2013
Mercedes-Benz CLA 200 CDI Sport,₹ 16.49 ,,"51,500 km",Diesel,Kolkata,2015
Skoda Octavia 1.8 TSI L&K,₹ 21 ,,"23,160 km",Petrol,Hyderabad,2018
Toyota Corolla Altis G Petrol,₹ 6.95 ,,"75,000 km",Petrol,Thane,2015
Toyota Corolla Altis 1.8 G AT,₹ 8.83 ,,"63,000 km",Petrol,Delhi,2014
BMW 3 Series 320d Luxury Line,₹ 15.5 ,,"1,04,264 km",Diesel,Hyderabad,2013
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 6.59 ,,"15,972 km",Petrol,Delhi,2017
Hyundai Eon Magna [2011-2012],₹ 3.2 ,,"33,146 km",Petrol,Ahmedabad,2015
Maruti Suzuki Swift VXi [2014-2017],₹ 6.74 ,,"30,956 km",Petrol,Chennai,2020
Renault Kiger RXT Turbo CVT Dual Tone,₹ 9.98 ,,"4,371 km",Petrol,Kolkata,2022
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],₹ 10.75 ,,"63,653 km",Diesel,Hyderabad,2020
Honda City 1.5 V MT,₹ 4.05 ,,"55,297 km",Petrol,Thane,2013
Porsche Cayenne Turbo,₹ 78.57 ,,"12,000 km",Petrol,Ahmedabad,2015
Maruti Suzuki Swift DZire VXI,₹ 4.17 ,,"21,391 km",Petrol,Kolkata,2014
Renault Kwid CLIMBER 1.0 (O),₹ 4.83 ,,"11,546 km",Petrol,Delhi,2021
Hyundai Santro Sportz,₹ 5.89 ,,"16,270 km",Petrol,Pune,2020
Nissan Micra XV Diesel,₹ 2.9 ,,"73,000 km",Diesel,Ahmedabad,2012
Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,₹ 5.49 ,,"53,000 km",Petrol,Hyderabad,2018
Mercedes-Benz CLA 200 Petrol Sport,₹ 19.25 ,,"34,000 km",Petrol,Mumbai,2016
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 10.64 ,,"16,328 km",Petrol,Pune,2019
Land Rover Range Rover Evoque SE R-Dynamic Petrol,₹ 77 ,,"5,600 km",Petrol,Thane,2021
Maruti Suzuki S-Cross Alpha 1.3,₹ 7.6 ,,"73,994 km",Diesel,Hyderabad,2016
Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,₹ 10.59 ,,"43,920 km",Petrol,Bangalore,2019
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.17 ,,"17,715 km",Petrol,Kolkata,2014
Toyota Corolla Altis G Petrol,₹ 10.4 ,,"82,902 km",Petrol,Delhi,2018
Land Rover Range Rover Sport SDV6 SE,₹ 1.23 Crore,,"39,012 km",Diesel,Thane,2019
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.71 ,,"23,344 km",Petrol,Hyderabad,2018
Hyundai Verna 1.6 VTVT SX (O),₹ 7.49 ,,"93,494 km",Petrol,Kolkata,2019
Honda Jazz V AT Petrol,₹ 7.25 ,,"27,222 km",Petrol,Mumbai,2018
Hyundai Creta S 1.5 Diesel [2020-2022],₹ 16 ,,"14,468 km",Diesel,Hyderabad,2021
Honda Jazz V Diesel,₹ 7.47 ,,"40,000 km",Diesel + 1,Pallikarnai,2017
Maruti Suzuki Ciaz ZXI+,₹ 5.75 ,,"65,000 km",Petrol,Thane,2015
Maruti Suzuki Alto K10 LXi,₹ 1.9 ,,"60,028 km",Petrol,Delhi,2012
Mercedes-Benz CLA 200 CDI Sport,₹ 29.5 ,,"37,300 km",Diesel,Bangalore,2018
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 11.25 ,,"32,143 km",Petrol,Mumbai,2018
Hyundai Elite i20 Asta 1.2 [2016-2017],₹ 6.45 ,,"55,669 km",Petrol,Chennai,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.05 ,,"72,757 km",Petrol,Delhi,2016
Honda City SV CVT,₹ 8.75 ,,"56,000 km",Petrol,Ahmedabad,2017
Maruti Suzuki Swift VXi ABS,₹ 3.26 ,,"70,244 km",Petrol,Kolkata,2013
BMW X1 sDrive20d xLine,₹ 21.45 ,,"46,595 km",Diesel,Delhi,2018
Maruti Suzuki XL6 Zeta MT Petrol,₹ 9.51 ,,"20,703 km",Petrol,Ahmedabad,2020
Tata Harrier XZ [2019-2020],₹ 14.65 ,,"47,579 km",Diesel,Mumbai,2019
BMW X1 sDrive20d xLine,₹ 28 ,,"31,000 km",Diesel,Kolkata,2019
Mercedes-Benz GLE 350 d,₹ 58 ,,"31,300 km",Diesel,Ahmedabad,2019
Ford EcoSport Titanium+ 1.5L TDCi Black Edition,₹ 7.5 ,,"52,157 km",Diesel,Hyderabad,2016
Mahindra XUV500 W6 AT,₹ 9.5 ,,"91,000 km",Diesel,Ahmedabad,2016
Audi A6 2.0 TDI Premium,₹ 21 ,,"69,631 km",Diesel,Hyderabad,2013
Hyundai i20 Active 1.2 S,₹ 6.11 ,,"32,036 km",Petrol,Mumbai,2018
Mercedes-Benz AMG GLA35 4MATIC,₹ 64.5 ,,"2,000 km",Petrol,Chennai,2022
Hyundai Elite i20 Asta 1.2,₹ 6 ,,"22,621 km",Petrol,Kolkata,2018
Honda City VX,₹ 6.25 ,,"45,000 km",Petrol,Thane,2015
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,₹ 11.26 ,,"33,423 km",Petrol,Pune,2019
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.5 ,,"31,500 km",Petrol,Ahmedabad,2015
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.25 ,,"51,000 km",Petrol,Thane,2017
Renault Duster 85 PS RXS 4X2 MT Diesel,₹ 9.79 ,,"39,030 km",Diesel,Bangalore,2018
Mercedes-Benz C-Class C 200 Avantgarde Edition,₹ 30.56 ,,"27,236 km",Petrol,Bangalore,2018
Maruti Suzuki Celerio VXi,₹ 3.57 ,,"24,063 km",Petrol,Kolkata,2015
Volkswagen Polo Highline1.2L (P),₹ 5.21 ,,"59,819 km",Petrol,Mumbai,2015
Renault Kwid 1.0 RXT Opt,₹ 4.39 ,,"8,297 km",Petrol,Delhi,2019
Maruti Suzuki Dzire ZXi AMT,₹ 7.35 ,,"32,740 km",Petrol,Pune,2017
BMW 5 Series 520d Luxury Line [2017-2019],₹ 45.99 ,,"34,500 km",Diesel,Ahmedabad,2020
Kia Sonet GTX Plus 1.5 [2020-2021],₹ 14.19 ,,"25,007 km",Diesel,Pune,2020
Maruti Suzuki Ignis Sigma 1.2 MT,₹ 4.89 ,,"38,944 km",Petrol,Chennai,2019
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.05 ,,"72,757 km",Petrol,Delhi,2016
Volkswagen Vento Trendline Petrol,₹ 3.5 ,,"1,01,740 km",Petrol,Hyderabad,2010
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 5.99 ,,"9,130 km",Petrol,Pune,2019
Honda Jazz V AT Petrol,₹ 6.75 ,,"48,650 km",Petrol,Mumbai,2017
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 10.29 ,,"40,314 km",Petrol,Pune,2016
Volvo XC90 D5 AWD,₹ 22.87 ,,"30,800 km",Diesel,Ahmedabad,2015
Maruti Suzuki Alto 800 Lxi CNG,₹ 3.45 ,,"33,000 km",CNG,Noida,2019
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 7.9 ,,"54,000 km",Petrol,Hyderabad,2019
Honda City V,₹ 8.45 ,,"22,500 km",Petrol,Thane,2018
Toyota Glanza G CVT,₹ 8.49 ,,"29,866 km",Petrol,Bangalore,2020
Ford Aspire Titanium 1.2 Ti-VCT,₹ 5.35 ,,"65,000 km",Petrol,Noida,2017
Ford EcoSport Titanium 1.0 Ecoboost (Opt),₹ 4.75 ,,"78,822 km",Petrol,Faridabad,2014
Volkswagen Taigun GT Plus 1.5 TSI DSG,₹ 16.49 ,,"9,792 km",Petrol,Ahmedabad,2021
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 5.69 ,,"64,774 km",Petrol,Bangalore,2016
Toyota Fortuner 2.8 4x2 MT [2016-2020],₹ 33.75 ,,"31,283 km",Diesel,Bangalore,2018
Skoda Rapid Ambition 1.6 MPI AT,₹ 10.82 ,,"10,713 km",Petrol,Delhi,2020
Maruti Suzuki Baleno Zeta 1.2,₹ 6.99 ,,"13,127 km",Petrol,Kolkata,2021
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.25 ,,"50,000 km",Petrol,Thane,2016
Maruti Suzuki Alto 800 Lxi,₹ 3.25 ,,"35,340 km",Petrol,Pune,2018
Honda Jazz V AT Petrol,₹ 6.51 ,,"27,654 km",Petrol,Mumbai,2017
Hyundai Santro Sportz CNG [2018-2020],₹ 5.23 ,,"40,067 km",CNG,Pune,2018
Maruti Suzuki Baleno Delta 1.2,₹ 5.48 ,,"50,899 km",Petrol,Delhi,2018
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.6 ,,"52,000 km",Petrol,Thane,2017
Honda City S Petrol,₹ 6.95 ,,"51,292 km",Petrol,Thane,2017
Hyundai Elite i20 Magna Executive 1.2,₹ 5.19 ,,"19,905 km",Petrol,Kolkata,2017
Tata Nano Twist XT,₹ 1.1 ,,"18,000 km",Petrol,Ahmedabad,2015
Maruti Suzuki Ertiga VXI CNG,₹ 11.4 ,,"28,715 km",CNG,Thane,2021
Maruti Suzuki Ertiga Vxi CNG,₹ 7.21 ,,"69,161 km",CNG,Mumbai,2015
Maruti Suzuki S-Cross Zeta 1.3,₹ 8.87 ,,"54,571 km",Diesel,Pune,2017
Honda City VX CVT,₹ 7.75 ,,"25,000 km",Petrol,Thane,2016
Honda City VX,₹ 8.75 ,,"24,259 km",Petrol,Kolkata,2019
Maruti Suzuki Alto 800 Lxi,₹ 2.95 ,,"30,233 km",Petrol,Pune,2015
Mahindra Thar LX Hard Top Diesel AT,₹ 17.5 ,,"21,000 km",Diesel,Delhi,2021
Maruti Suzuki Ertiga VXI CNG,₹ 8.25 ,,"51,000 km",CNG,Thane,2017
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.5 ,,"23,137 km",Petrol,Thane,2016
Land Rover Discovery Sport HSE,₹ 26 ,,"1,59,070 km",Diesel,Hyderabad,2015
Maruti Suzuki Dzire VDi AMT,₹ 6.45 ,,"52,328 km",Diesel,Noida,2018
Maruti Suzuki Baleno RS 1.0,₹ 6.66 ,,"35,849 km",Petrol,Pune,2017
Hyundai Venue SX 1.0 Petrol [2019-2020],₹ 10.66 ,,"24,783 km",Petrol,Bangalore,2020
Maruti Suzuki Ciaz VXi,₹ 5 ,,"27,346 km",Petrol,Kolkata,2016
Hyundai i10 Magna 1.2 Kappa2,₹ 3.49 ,,"75,619 km",Petrol,Chennai,2014
Hyundai i10 Magna 1.2 Kappa2,₹ 2.45 ,,"54,000 km",Petrol,Kolkata,2013
Nissan Sunny XE,₹ 2.95 ,,"58,000 km",Petrol,Noida,2012
Jeep Wrangler Rubicon,₹ 65 ,,"27,340 km",Petrol,Hyderabad,2021
Maruti Suzuki Swift VXi AMT,₹ 6.3 ,,"17,000 km",Petrol,Pallikarnai,2020
Volkswagen Vento Highline 1.5 (D) AT,₹ 7.9 ,,"1,11,139 km",Diesel,Mumbai,2018
Hyundai Elantra 1.6 SX (O) AT,₹ 18.75 ,,"40,916 km",Diesel,Pune,2018
Honda WR-V VX MT Diesel,₹ 9.5 ,,"1,20,463 km",Diesel,Thiruvallur,2018
Honda BR-V VX Diesel,₹ 7.99 ,,"94,197 km",Diesel,Thane,2017
Maruti Suzuki Swift DZire VXI,₹ 4.24 ,,"76,859 km",Petrol,Pune,2014
Honda City S Petrol,₹ 7.25 ,,"33,000 km",Petrol,Ahmedabad,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.96 ,,"17,286 km",Petrol,Kolkata,2018
Mercedes-Benz GLA 220 d 4MATIC,₹ 28.5 ,,"40,484 km",Diesel,Bangalore,2017
Tata Tiago Revotorq XZ Plus,₹ 5.4 ,,"70,450 km",Diesel,Ahmedabad,2020
Honda City V,₹ 8.4 ,,"45,074 km",Petrol,Kolkata,2019
Hyundai Elite i20 Asta 1.4 CRDI,₹ 6.95 ,,"1,01,000 km",Diesel,Thane,2015
BMW 7 Series 760Li,₹ 59 ,,"22,000 km",Petrol,Ahmedabad,2016
Hyundai i20 Sportz 1.2 BS-IV,₹ 3.45 ,,"69,000 km",Petrol,Mumbai,2012
Maruti Suzuki Dzire VXi AMT,₹ 6.96 ,,"14,895 km",Petrol,Pune,2018
Tata Tiago XZ Plus CNG,₹ 8.1 ,,"11,444 km",CNG,Delhi,2022
Tata Tiago Revotron XE [2016-2019],₹ 4.14 ,,"32,120 km",Petrol,Delhi,2018
Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 33 ,,"64,300 km",Diesel,Ahmedabad,2019
Tata Harrier XZA Plus,₹ 22 ,,"30,503 km",Diesel,Thane,2021
Honda City SV Petrol [2019-2020],₹ 8.25 ,,"62,042 km",Petrol,Ahmedabad,2019
Mahindra TUV300 T8,₹ 7.45 ,,"1,22,924 km",Diesel,Hyderabad,2017
Ford EcoSport Titanium 1.5L Ti-VCT AT,₹ 6.9 ,,"37,000 km",Petrol,Ahmedabad,2016
Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),₹ 19.25 ,,"23,402 km",Petrol,Bangalore,2021
Audi A4 35 TFSI Premium Sunroof,₹ 17.25 ,,"35,000 km",Petrol,Mumbai,2015
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 6.39 ,,"38,657 km",Petrol,Pune,2017
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.45 ,,"64,000 km",Petrol,Hyderabad,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.1 ,,"35,094 km",Petrol,Pune,2018
Toyota Glanza G,₹ 7.3 ,,"18,000 km",Petrol,Thiruvallur,2021
Nissan Magnite XE,₹ 6.7 ,,"18,503 km",Petrol,Pune,2021
Ford EcoSport Titanium 1.5 Ti-VCT AT,₹ 8.25 ,,"30,000 km",Petrol,Delhi,2018
Honda Jazz ZX CVT,₹ 8.42 ,,"33,197 km",Petrol,Chennai,2020
Land Rover Range Rover Velar 2.0 R-Dynamic Petrol 250,₹ 77 ,,"39,800 km",Petrol,Thane,2019
Ford EcoSport Titanium + 1.5L TDCi,₹ 6.9 ,,"83,000 km",Diesel,Ahmedabad,2016
BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 36 ,,"36,00,000 km",Diesel,Pune,2019
Maruti Suzuki Swift ZXi Plus,₹ 7.15 ,,"24,783 km",Petrol,Kolkata,2021
Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],₹ 8.15 ,,"55,000 km",Diesel,Thane,2017
Hyundai Santro Sportz [2018-2020],₹ 5.54 ,,"11,844 km",Petrol,Pune,2019
Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],₹ 16.95 ,,"37,430 km",Diesel,Hyderabad,2017
Mahindra XUV500 W8,₹ 8.79 ,,"81,682 km",Diesel,Bangalore,2013
Hyundai Xcent S 1.2,₹ 4.9 ,,"32,700 km",Petrol,Ahmedabad,2014
Honda WR-V VX MT Petrol,₹ 10.19 ,,"23,795 km",Petrol,Chennai,2021
Maruti Suzuki Swift DZire ZXI,₹ 5.18 ,,"37,188 km",Petrol,Pune,2015
Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.79 ,,"27,044 km",Petrol,Bangalore,2017
Hyundai Elite i20 Sportz 1.4 CRDI [2016-2017],₹ 6.6 ,,"52,451 km",Diesel,Hyderabad,2016
MG Hector Sharp 1.5 Petrol Turbo DCT,₹ 16.49 ,,"35,200 km",Petrol,Bangalore,2020
Hyundai Elite i20 Sportz 1.2,₹ 8.49 ,,"30,490 km",Petrol,Bangalore,2019
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 5 ,,"65,000 km",Petrol,Thane,2019
Maruti Suzuki Alto 800 LXi CNG (O),₹ 3.49 ,,"36,427 km",CNG,Mumbai,2017
Hyundai Santro Sportz,₹ 5.89 ,,"47,873 km",Petrol,Pune,2020
Mahindra XUV500 W10,₹ 8.65 ,,"1,16,000 km",Diesel,Noida,2015
Volkswagen Taigun Topline 1.0 TSI AT,₹ 17.9 ,,"11,321 km",Petrol,Thane,2022
Hyundai Creta E Plus 1.6 Petrol,₹ 9.3 ,,"12,000 km",Petrol,Thane,2018
Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],₹ 6.95 ,,"23,671 km",Petrol,Bangalore,2018
Maruti Suzuki SX4 ZXi,₹ 1.6 ,,"58,000 km",Petrol,Kolkata,2009
Honda Amaze 1.2 V CVT Petrol [2018-2020],₹ 6.65 ,,"38,868 km",Petrol,Delhi,2018
Honda City VX CVT,₹ 7.95 ,,"33,613 km",Petrol,Mumbai,2016
Audi Q3 35 TDI Premium + Sunroof,₹ 20.5 ,,"90,246 km",Diesel,Ahmedabad,2016
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 5 ,,"58,005 km",Petrol,Thane,2018
Toyota Yaris V MT,₹ 9.8 ,,"44,000 km",Petrol,Hyderabad,2018
Maruti Suzuki Swift VXi AMT,₹ 7.04 ,,"28,151 km",Petrol,Delhi,2019
Hyundai Creta 1.6 E Petrol,₹ 7.45 ,,"59,233 km",Petrol,Noida,2015
Hyundai Grand i10 Era 1.1 CRDi [2016-2017],₹ 5 ,,"34,000 km",Diesel,Thiruvallur,2017
Maruti Suzuki Baleno Alpha 1.2,₹ 6.1 ,,"47,500 km",Petrol,Thane,2017
Honda City 1.5 V MT,₹ 3.25 ,,"82,000 km",Petrol,Thane,2010
Toyota Fortuner Legender 4X2 AT 2.8 Legender,₹ 48.5 ,,"28,000 km",Diesel,Pune,2021
Toyota Etios Cross 1.2 G,₹ 4.35 ,,"32,545 km",Petrol,Kolkata,2015
Honda City V,₹ 6.53 ,,"82,852 km",Petrol,Delhi,2014
Ford EcoSport Titanium 1.5 TDCi,₹ 5.99 ,,"56,615 km",Diesel,Thane,2015
Kia Seltos GTX Plus AT 1.4 [2019-2020],₹ 14.9 ,,"57,600 km",Petrol,Chennai,2019
Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],₹ 6.2 ,,"30,704 km",Diesel,Hyderabad,2018
BMW X5 xDrive 30d,₹ 47.9 ,,"60,000 km",Diesel,Pune,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.27 ,,"14,813 km",Petrol,Delhi,2016
Fiat Punto Active 1.3,₹ 3.5 ,,"85,451 km",Diesel,Hyderabad,2014
Renault Kwid CLIMBER 1.0 AMT [2017-2019],₹ 4.25 ,,"39,736 km",Petrol,Mumbai,2017
Mercedes-Benz C-Class C 220 CDI Avantgarde,₹ 28.78 ,,"31,283 km",Diesel,Bangalore,2016
Honda City SV CVT,₹ 6.15 ,,"69,000 km",Petrol,Thane,2015
Maruti Suzuki XL6 Zeta AT Petrol,₹ 12.9 ,,"14,222 km",Petrol,Ahmedabad,2022
Honda City 1.5 S MT,₹ 3.45 ,,"63,000 km",Petrol,Mumbai,2011
Volkswagen Polo Comfortline 1.2L (D),₹ 2.9 ,,"57,261 km",Diesel,Kolkata,2013
Skoda Rapid Ambition 1.6 MPI AT,₹ 10.13 ,,"14,049 km",Petrol,Kolkata,2020
Hyundai Eon Era +,₹ 2.95 ,,"75,000 km",Petrol,Ahmedabad,2016
Maruti Suzuki S-Presso VXi Plus,₹ 4.76 ,,66 km,Petrol,Delhi,2021
Maruti Suzuki Dzire VDi,₹ 7.85 ,,"91,000 km",Diesel,Hyderabad,2018
Maruti Suzuki Ritz VXI BS-IV,₹ 2.35 ,,"39,900 km",Petrol,Thane,2011
Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],₹ 19.25 ,,"9,355 km",Petrol,Thane,2022
Maruti Suzuki Baleno Zeta 1.2 AT,₹ 7 ,,"55,000 km",Petrol,Thiruvallur,2018
Volkswagen Taigun Highline 1.0 TSI AT,₹ 17.49 ,,"16,777 km",Petrol,Bangalore,2021
Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],₹ 24.49 ,,"55,627 km",Diesel,Bangalore,2018
Maruti Suzuki Ertiga ZXi,₹ 5.95 ,,"67,590 km",Petrol,Mumbai,2014
Nissan Micra Active XV,₹ 3.25 ,,"16,937 km",Petrol,Kolkata,2017
Honda City V,₹ 8.75 ,,"36,000 km",Petrol,Mumbai,2018
Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 8.57 ,,"7,702 km",Petrol,Pune,2022
Maruti Suzuki S-Presso VXi Plus,₹ 4.54 ,,"50,729 km",Petrol,Pune,2020
BMW 3 Series 330i Sport Line,₹ 22.5 ,,"63,000 km",Petrol,Ahmedabad,2018
MINI Cooper Countryman Cooper D,₹ 14.75 ,,"46,251 km",Diesel,Ahmedabad,2014
Hyundai Verna 1.4 VTVT,₹ 5.9 ,,"67,000 km",Petrol,Ahmedabad,2016
Mercedes-Benz CLA 200 CDI Sport,₹ 25 ,,"52,295 km",Diesel,Hyderabad,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.92 ,,"52,460 km",Petrol,Pune,2015
Hyundai i20 Asta 1.2,₹ 4.3 ,,"41,429 km",Petrol,Pune,2012
Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],₹ 18.25 ,,"28,449 km",Petrol,Mumbai,2019
Hyundai Santro Sportz [2018-2020],₹ 5.26 ,,"57,588 km",Petrol,Pune,2019
Mercedes-Benz CLA 200 CDI Sport,₹ 16.49 ,,"51,500 km",Diesel,Kolkata,2015
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.9 ,,"53,830 km",Petrol,Ahmedabad,2018
Toyota Innova 2.5 G4 8 STR,₹ 4.25 ,,"1,20,000 km",Diesel,Thane,2009
Tata Indica V2 DLE BS-III,"₹ 60,000",,"50,000 km",Diesel,Pallikarnai,2007
Maruti Suzuki Alto 800 Lxi,₹ 3.1 ,,"68,000 km",Petrol,Hyderabad,2015
Maruti Suzuki Baleno Zeta,₹ 6.55 ,,"22,772 km",Petrol,Kolkata,2018
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.65 ,,"22,407 km",Petrol,Mumbai,2017
Hyundai Elite i20 Sportz 1.2 (O),₹ 6.3 ,,"61,546 km",Petrol,Pune,2018
Hyundai i20 Magna 1.2,₹ 3.1 ,,"68,000 km",Petrol,Noida,2012
Honda City SV CVT,₹ 6.9 ,,"45,000 km",Petrol,Ahmedabad,2015
MG Astor Sharp 1.5 CVT,₹ 16.85 ,,"4,946 km",Petrol,Thane,2021
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.64 ,,"13,889 km",Petrol,Pune,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 16.92 ,,"23,409 km",Petrol,Pune,2019
Toyota Fortuner 2.8 4x2 AT [2016-2020],₹ 32.5 ,,"82,000 km",Diesel,Hyderabad,2017
Maruti Suzuki Celerio VXi,₹ 4.15 ,,"40,900 km",Petrol,Bangalore,2014
Mercedes-Benz A-Class A 200d,₹ 22.95 ,,"8,368 km",Diesel,Bangalore,2017
Toyota Fortuner 3.0 4x2 AT,₹ 16.49 ,,"1,07,281 km",Diesel,Bangalore,2012
Maruti Suzuki Swift VXi ABS,₹ 3.4 ,,"51,595 km",Petrol,Delhi,2013
Renault Kwid 1.0 RXT [2016-2019],₹ 4.6 ,,"22,541 km",Petrol,Bangalore,2018
Mercedes-Benz GLC 220 d Sport,₹ 44 ,,"46,000 km",Diesel,Pune,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.59 ,,"20,728 km",Petrol,Kolkata,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.95 ,,"44,868 km",Petrol,Bangalore,2019
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,₹ 7.33 ,,"18,631 km",Petrol,Pune,2019
Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],₹ 18.9 ,,"48,969 km",Diesel,Thane,2018
Toyota Innova Crysta ZX 2.4 7 STR,₹ 33.5 ,,"42,000 km",Diesel,Hyderabad,2022
Maruti Suzuki Wagon R ZXi 1.2,₹ 6.49 ,,"9,011 km",Petrol,Bangalore,2021
Honda City VX CVT,₹ 9.5 ,,"77,116 km",Petrol,Hyderabad,2015
Honda City Anniversary Edition Diesel,₹ 8.2 ,,"26,500 km",Diesel + 1,Ambattur,2018
Hyundai Creta SX Plus 1.6  Petrol,₹ 11.37 ,,"22,872 km",Petrol,Bangalore,2017
Volvo V40 D3 Kinetic,₹ 16 ,,"30,000 km",Diesel,Ahmedabad,2016
